,LOCATION,SUBJECT,TIME,Value
205,CAN,TRY,2017,56.71451999999999
206,CAN,TRY,2018,57.888363
207,CAN,TRY,2019,59.374843999999996
208,CAN,UPPSRY,2000,40.561737
209,CAN,UPPSRY,2001,40.106728000000004
210,CAN,UPPSRY,2002,39.804909
211,CAN,UPPSRY,2003,39.608646
212,CAN,UPPSRY,2004,39.76453
213,CAN,UPPSRY,2005,39.206749
214,CAN,UPPSRY,2006,38.661331
215,CAN,UPPSRY,2007,38.323586
216,CAN,UPPSRY,2008,38.289677000000005
217,CAN,UPPSRY,2009,38.241207
218,CAN,UPPSRY,2010,37.95142
219,CAN,UPPSRY,2011,37.598511
220,CAN,UPPSRY,2012,36.659264
221,CAN,UPPSRY,2013,36.57077
222,CAN,UPPSRY,2014,36.373581
223,CAN,UPPSRY,2015,35.228446999999996
224,CAN,UPPSRY,2016,34.343746
225,CAN,UPPSRY,2017,34.412544
226,CAN,UPPSRY,2018,33.733723
227,CAN,UPPSRY,2019,32.48312
228,CZE,BUPPSRY,2000,14.057979999999999
229,CZE,BUPPSRY,2001,13.791635000000001
230,CZE,BUPPSRY,2002,12.072922
231,CZE,BUPPSRY,2003,13.580704999999998
232,CZE,BUPPSRY,2004,10.923604
233,CZE,BUPPSRY,2005,10.074598
234,CZE,BUPPSRY,2006,9.720290199999999
235,CZE,BUPPSRY,2007,9.465225199999999
236,CZE,BUPPSRY,2008,9.096694
237,CZE,BUPPSRY,2009,8.5971041
238,CZE,BUPPSRY,2010,8.0573692
239,CZE,BUPPSRY,2011,7.6677351
240,CZE,BUPPSRY,2012,7.549176200000001
241,CZE,BUPPSRY,2013,7.1797996
242,CZE,BUPPSRY,2014,6.809908900000001
243,CZE,BUPPSRY,2015,6.841207000000001
244,CZE,BUPPSRY,2016,6.5732007
245,CZE,BUPPSRY,2017,6.206314099999999
246,CZE,BUPPSRY,2018,6.139408599999999
247,CZE,BUPPSRY,2019,6.2475748
248,CZE,TRY,2000,10.963161999999999
249,CZE,TRY,2001,11.131625999999999
250,CZE,TRY,2002,11.941410000000001
251,CZE,TRY,2003,12.005664
252,CZE,TRY,2004,12.345678
253,CZE,TRY,2005,13.058269000000001
254,CZE,TRY,2006,13.522043
255,CZE,TRY,2007,13.732669
256,CZE,TRY,2008,14.498895000000001
257,CZE,TRY,2009,15.544437
258,CZE,TRY,2010,16.764982
259,CZE,TRY,2011,18.243177
260,CZE,TRY,2012,19.277992
261,CZE,TRY,2013,20.45986
262,CZE,TRY,2014,21.51013
263,CZE,TRY,2015,22.186741
264,CZE,TRY,2016,22.971544
265,CZE,TRY,2017,23.927534
266,CZE,TRY,2018,24.262076999999998
267,CZE,TRY,2019,24.212393
268,CZE,UPPSRY,2000,74.978859
269,CZE,UPPSRY,2001,75.076736
270,CZE,UPPSRY,2002,75.985672
271,CZE,UPPSRY,2003,74.413628
272,CZE,UPPSRY,2004,76.730721
273,CZE,UPPSRY,2005,76.867134
274,CZE,UPPSRY,2006,76.75766800000001
275,CZE,UPPSRY,2007,76.802109
276,CZE,UPPSRY,2008,76.404411
277,CZE,UPPSRY,2009,75.858459
278,CZE,UPPSRY,2010,75.17765
279,CZE,UPPSRY,2011,74.089088
280,CZE,UPPSRY,2012,73.17282900000001
281,CZE,UPPSRY,2013,72.360344
282,CZE,UPPSRY,2014,71.679962
283,CZE,UPPSRY,2015,70.972054
284,CZE,UPPSRY,2016,70.45525400000001
285,CZE,UPPSRY,2017,69.86615
286,CZE,UPPSRY,2018,69.598511
287,CZE,UPPSRY,2019,69.540031
288,DNK,BUPPSRY,2000,20.218884
289,DNK,BUPPSRY,2001,19.333779999999997
290,DNK,BUPPSRY,2002,18.908282999999997
291,DNK,BUPPSRY,2003,19.446814
292,DNK,BUPPSRY,2004,18.778183
293,DNK,BUPPSRY,2005,18.983217
294,DNK,BUPPSRY,2006,18.359888
295,DNK,BUPPSRY,2007,25.721992
296,DNK,BUPPSRY,2008,24.899332
297,DNK,BUPPSRY,2009,24.137625
298,DNK,BUPPSRY,2010,23.289925
299,DNK,BUPPSRY,2011,22.021439
300,DNK,BUPPSRY,2012,21.165937
301,DNK,BUPPSRY,2013,20.812916
302,DNK,BUPPSRY,2014,20.446317999999998
303,DNK,BUPPSRY,2015,19.628629999999998
304,DNK,BUPPSRY,2016,19.726067
305,DNK,BUPPSRY,2017,19.052462
306,DNK,BUPPSRY,2018,18.940752
307,DNK,BUPPSRY,2019,18.410515
308,DNK,TRY,2000,25.777601
309,DNK,TRY,2001,28.411859999999997
310,DNK,TRY,2002,29.610840000000003
311,DNK,TRY,2003,31.847263
312,DNK,TRY,2004,32.848095
313,DNK,TRY,2005,33.544121000000004
314,DNK,TRY,2006,34.719662
315,DNK,TRY,2007,30.903458
316,DNK,TRY,2008,31.126369
317,DNK,TRY,2009,32.001427
318,DNK,TRY,2010,33.002644000000004
319,DNK,TRY,2011,33.662952000000004
320,DNK,TRY,2012,34.639697999999996
321,DNK,TRY,2013,35.204632000000004
322,DNK,TRY,2014,35.800922
323,DNK,TRY,2015,37.095581
324,DNK,TRY,2016,37.766045
325,DNK,TRY,2017,38.889214
326,DNK,TRY,2018,39.44791
327,DNK,TRY,2019,40.353836
328,DNK,UPPSRY,2000,54.003513
329,DNK,UPPSRY,2001,52.25436
330,DNK,UPPSRY,2002,51.480877
331,DNK,UPPSRY,2003,48.705925
332,DNK,UPPSRY,2004,48.373721999999994
333,DNK,UPPSRY,2005,47.472664
334,DNK,UPPSRY,2006,46.920448
335,DNK,UPPSRY,2007,43.37455
336,DNK,UPPSRY,2008,43.974297
337,DNK,UPPSRY,2009,43.86095
338,DNK,UPPSRY,2010,43.707432
339,DNK,UPPSRY,2011,44.315609
340,DNK,UPPSRY,2012,44.194365999999995
341,DNK,UPPSRY,2013,43.982452
342,DNK,UPPSRY,2014,43.752758
343,DNK,UPPSRY,2015,43.275791
344,DNK,UPPSRY,2016,42.507889
345,DNK,UPPSRY,2017,42.058323
346,DNK,UPPSRY,2018,41.611340000000006
347,DNK,UPPSRY,2019,41.235649
348,FIN,BUPPSRY,2000,26.837576000000002
349,FIN,BUPPSRY,2003,23.959745
350,FIN,BUPPSRY,2004,22.375042
351,FIN,BUPPSRY,2005,21.212481
352,FIN,BUPPSRY,2006,20.363401
353,FIN,BUPPSRY,2007,19.490316
354,FIN,BUPPSRY,2008,18.926767
355,FIN,BUPPSRY,2009,18.026873000000002
356,FIN,BUPPSRY,2010,17.01717
357,FIN,BUPPSRY,2011,16.27569
358,FIN,BUPPSRY,2012,15.202716
359,FIN,BUPPSRY,2013,14.109433
360,FIN,BUPPSRY,2014,13.493114000000002
361,FIN,BUPPSRY,2015,12.847135
362,FIN,BUPPSRY,2016,12.091855
363,FIN,BUPPSRY,2017,11.896179
364,FIN,BUPPSRY,2018,10.926194
365,FIN,BUPPSRY,2019,9.7360916
366,FIN,TRY,2000,32.614371999999996
367,FIN,TRY,2003,33.177582
368,FIN,TRY,2004,34.184566
369,FIN,TRY,2005,34.629433
370,FIN,TRY,2006,35.141739
371,FIN,TRY,2007,36.357056
372,FIN,TRY,2008,36.583557
373,FIN,TRY,2009,37.268574
374,FIN,TRY,2010,38.146343
375,FIN,TRY,2011,39.318207
376,FIN,TRY,2012,39.661289000000004
377,FIN,TRY,2013,40.545231
378,FIN,TRY,2014,41.776676
379,FIN,TRY,2015,42.742619
380,FIN,TRY,2016,43.595264
381,FIN,TRY,2017,44.304253
382,FIN,TRY,2018,45.188133
383,FIN,TRY,2019,45.93438
384,FIN,UPPSRY,2000,40.54805
385,FIN,UPPSRY,2003,42.862675
386,FIN,UPPSRY,2004,43.440391999999996
387,FIN,UPPSRY,2005,44.158085
388,FIN,UPPSRY,2006,44.494862
389,FIN,UPPSRY,2007,44.152626
390,FIN,UPPSRY,2008,44.489677
391,FIN,UPPSRY,2009,44.704552
392,FIN,UPPSRY,2010,44.836487
393,FIN,UPPSRY,2011,44.406101
394,FIN,UPPSRY,2012,45.135994000000004
395,FIN,UPPSRY,2013,45.345337
396,FIN,UPPSRY,2014,44.730209
397,FIN,UPPSRY,2015,44.410244
398,FIN,UPPSRY,2016,44.312881
399,FIN,UPPSRY,2017,43.799568
400,FIN,UPPSRY,2018,43.885674
401,FIN,UPPSRY,2019,44.329529
402,FRA,BUPPSRY,2000,37.759026
403,FRA,BUPPSRY,2001,36.132778
404,FRA,BUPPSRY,2002,35.226971
405,FRA,BUPPSRY,2003,34.777859
406,FRA,BUPPSRY,2004,34.187824
407,FRA,BUPPSRY,2005,33.189934
408,FRA,BUPPSRY,2006,32.571040999999994
409,FRA,BUPPSRY,2007,31.532801
410,FRA,BUPPSRY,2008,30.401829
411,FRA,BUPPSRY,2009,29.745791999999998
412,FRA,BUPPSRY,2010,29.233321999999998
413,FRA,BUPPSRY,2011,28.385553
414,FRA,BUPPSRY,2012,27.465465999999996
415,FRA,BUPPSRY,2013,25.153783999999998
416,FRA,BUPPSRY,2014,22.681496
417,FRA,BUPPSRY,2015,22.467602
418,FRA,BUPPSRY,2016,21.89171
419,FRA,BUPPSRY,2017,21.615114000000002
420,FRA,BUPPSRY,2018,20.640024
421,FRA,BUPPSRY,2019,19.56168
422,FRA,TRY,2000,21.58481
423,FRA,TRY,2001,23.020861
424,FRA,TRY,2002,23.98011
425,FRA,TRY,2003,23.917386999999998
426,FRA,TRY,2004,24.383651999999998
427,FRA,TRY,2005,25.425774
428,FRA,TRY,2006,26.183411
429,FRA,TRY,2007,26.646099
430,FRA,TRY,2008,27.233906
431,FRA,TRY,2009,28.588057
432,FRA,TRY,2010,29.006897
433,FRA,TRY,2011,29.767
434,FRA,TRY,2012,30.856122999999997
435,FRA,TRY,2013,32.105263
436,FRA,TRY,2014,33.539047
437,FRA,TRY,2015,34.085361
438,FRA,TRY,2016,34.582485
439,FRA,TRY,2017,35.213791
440,FRA,TRY,2018,36.897490999999995
441,FRA,TRY,2019,37.904724
442,FRA,UPPSRY,2000,40.656166
443,FRA,UPPSRY,2001,40.846359
444,FRA,UPPSRY,2002,40.792922999999995
445,FRA,UPPSRY,2003,41.304752
446,FRA,UPPSRY,2004,41.428523999999996
447,FRA,UPPSRY,2005,41.384293
448,FRA,UPPSRY,2006,41.245548
449,FRA,UPPSRY,2007,41.821098
450,FRA,UPPSRY,2008,42.364265
451,FRA,UPPSRY,2009,41.666153
452,FRA,UPPSRY,2010,41.759781
453,FRA,UPPSRY,2011,41.847446000000005
454,FRA,UPPSRY,2012,41.67841
455,FRA,UPPSRY,2013,42.740952
456,FRA,UPPSRY,2014,43.779457
457,FRA,UPPSRY,2015,43.447037
458,FRA,UPPSRY,2016,43.525806
459,FRA,UPPSRY,2017,43.171093
460,FRA,UPPSRY,2018,42.462482
461,FRA,UPPSRY,2019,42.533596
462,DEU,BUPPSRY,2000,18.273834
463,DEU,BUPPSRY,2001,17.3916
464,DEU,BUPPSRY,2002,17.012363
465,DEU,BUPPSRY,2003,16.622698
466,DEU,BUPPSRY,2004,16.099459
467,DEU,BUPPSRY,2005,16.892854999999997
468,DEU,BUPPSRY,2006,16.763082999999998
469,DEU,BUPPSRY,2007,15.584910999999998
470,DEU,BUPPSRY,2008,14.668834
471,DEU,BUPPSRY,2009,14.520242999999999
472,DEU,BUPPSRY,2010,14.189682999999999
473,DEU,BUPPSRY,2011,13.749629999999998
474,DEU,BUPPSRY,2012,13.699094
475,DEU,BUPPSRY,2013,13.679198999999999
476,DEU,BUPPSRY,2014,13.096583
477,DEU,BUPPSRY,2015,13.208749
478,DEU,BUPPSRY,2016,13.523512
479,DEU,BUPPSRY,2017,13.478389000000002
480,DEU,BUPPSRY,2018,13.324821
481,DEU,BUPPSRY,2019,13.277470000000001
482,DEU,TRY,2000,23.498836999999998
483,DEU,TRY,2001,23.222008
484,DEU,TRY,2002,23.427382
485,DEU,TRY,2003,23.982014000000003
486,DEU,TRY,2004,24.931704
487,DEU,TRY,2005,24.552816
488,DEU,TRY,2006,23.947578
489,DEU,TRY,2007,24.299988
490,DEU,TRY,2008,25.400060999999997
491,DEU,TRY,2009,26.385326
492,DEU,TRY,2010,26.609147999999998
493,DEU,TRY,2011,27.562323
494,DEU,TRY,2012,28.121571999999997
495,DEU,TRY,2013,28.47327
496,DEU,TRY,2014,27.057884
497,DEU,TRY,2015,27.638234999999998
498,DEU,TRY,2016,28.291722999999998
499,DEU,TRY,2017,28.583370000000002
500,DEU,TRY,2018,29.065134000000004
501,DEU,TRY,2019,29.900126
502,DEU,UPPSRY,2000,58.227329000000005
503,DEU,UPPSRY,2001,59.386391
504,DEU,UPPSRY,2002,59.56025699999999
505,DEU,UPPSRY,2003,59.395286999999996
506,DEU,UPPSRY,2004,58.968838
507,DEU,UPPSRY,2005,58.554329
508,DEU,UPPSRY,2006,59.289336999999996
509,DEU,UPPSRY,2007,60.115101
510,DEU,UPPSRY,2008,59.931107
511,DEU,UPPSRY,2009,59.094432999999995
512,DEU,UPPSRY,2010,59.201168
513,DEU,UPPSRY,2011,58.688049
514,DEU,UPPSRY,2012,58.179337
515,DEU,UPPSRY,2013,57.847530000000006
516,DEU,UPPSRY,2014,59.84553100000001
517,DEU,UPPSRY,2015,59.153015
518,DEU,UPPSRY,2016,58.184765000000006
519,DEU,UPPSRY,2017,57.93824
520,DEU,UPPSRY,2018,57.610046
521,DEU,UPPSRY,2019,56.822407
522,GRC,BUPPSRY,2000,50.712348999999996
523,GRC,BUPPSRY,2001,49.770618
524,GRC,BUPPSRY,2002,48.158752
525,GRC,BUPPSRY,2003,46.452507000000004
526,GRC,BUPPSRY,2004,43.350311
527,GRC,BUPPSRY,2005,42.286209
528,GRC,BUPPSRY,2006,40.753040000000006
529,GRC,BUPPSRY,2007,39.922272
530,GRC,BUPPSRY,2008,38.692974
531,GRC,BUPPSRY,2009,38.5051
532,GRC,BUPPSRY,2010,37.263659999999994
533,GRC,BUPPSRY,2011,35.445217
534,GRC,BUPPSRY,2012,34.217484000000006
535,GRC,BUPPSRY,2013,32.80518
536,GRC,BUPPSRY,2014,31.733679
537,GRC,BUPPSRY,2015,29.780088
538,GRC,BUPPSRY,2016,28.349746999999997
539,GRC,BUPPSRY,2017,27.290607
540,GRC,BUPPSRY,2018,26.630527
541,GRC,BUPPSRY,2019,26.043503
542,GRC,TRY,2000,17.672335
543,GRC,TRY,2001,18.067701
544,GRC,TRY,2002,18.793383
545,GRC,TRY,2003,19.299871
546,GRC,TRY,2004,21.286716000000002
547,GRC,TRY,2005,21.472097
548,GRC,TRY,2006,22.428827
549,GRC,TRY,2007,22.893152
550,GRC,TRY,2008,23.535585
551,GRC,TRY,2009,23.656685
552,GRC,TRY,2010,24.744848
553,GRC,TRY,2011,26.112072
554,GRC,TRY,2012,26.719267
555,GRC,TRY,2013,27.423178000000004
556,GRC,TRY,2014,28.105659000000003
557,GRC,TRY,2015,29.057495
558,GRC,TRY,2016,30.231607
559,GRC,TRY,2017,31.027514
560,GRC,TRY,2018,31.739904
561,GRC,TRY,2019,31.890486
562,GRC,UPPSRY,2000,31.615318
563,GRC,UPPSRY,2001,32.161682
564,GRC,UPPSRY,2002,33.047863
565,GRC,UPPSRY,2003,34.24762
566,GRC,UPPSRY,2004,35.362972
567,GRC,UPPSRY,2005,36.241695
568,GRC,UPPSRY,2006,36.81813
569,GRC,UPPSRY,2007,37.184578
570,GRC,UPPSRY,2008,37.771439
571,GRC,UPPSRY,2009,37.838215000000005
572,GRC,UPPSRY,2010,37.991489
573,GRC,UPPSRY,2011,38.442710999999996
574,GRC,UPPSRY,2012,39.063248
575,GRC,UPPSRY,2013,39.771640999999995
576,GRC,UPPSRY,2014,40.160664000000004
577,GRC,UPPSRY,2015,41.162418
578,GRC,UPPSRY,2016,41.418648
579,GRC,UPPSRY,2017,41.681881
580,GRC,UPPSRY,2018,41.629566
581,GRC,UPPSRY,2019,42.06601
582,HUN,BUPPSRY,2000,30.781889000000003
583,HUN,BUPPSRY,2001,29.985840000000003
584,HUN,BUPPSRY,2002,28.577425
585,HUN,BUPPSRY,2003,25.927795
586,HUN,BUPPSRY,2004,24.64992
587,HUN,BUPPSRY,2005,23.609816
588,HUN,BUPPSRY,2006,21.9265
589,HUN,BUPPSRY,2007,20.79417
590,HUN,BUPPSRY,2008,20.296638
591,HUN,BUPPSRY,2009,19.425785
592,HUN,BUPPSRY,2010,18.707645
593,HUN,BUPPSRY,2011,18.232164
594,HUN,BUPPSRY,2012,17.879883
595,HUN,BUPPSRY,2013,17.505869
596,HUN,BUPPSRY,2014,16.905603
597,HUN,BUPPSRY,2015,16.783051
598,HUN,BUPPSRY,2016,16.637701
599,HUN,BUPPSRY,2017,15.97375
600,HUN,BUPPSRY,2018,15.138174
601,HUN,BUPPSRY,2019,15.026365
602,HUN,TRY,2000,14.041859
603,HUN,TRY,2001,13.984717000000002
604,HUN,TRY,2002,14.211661999999999
605,HUN,TRY,2003,15.416001000000001
606,HUN,TRY,2004,16.748745
607,HUN,TRY,2005,17.083904
608,HUN,TRY,2006,17.699047
609,HUN,TRY,2007,18.048761
610,HUN,TRY,2008,19.197906
611,HUN,TRY,2009,19.86219
612,HUN,TRY,2010,20.121918
