,Country,Eligible_Population,Total_English_Speakers,Percent_English_Speakers,Land_Area,Population_Density
60,Zambia,11922000.0,1910000.0,0.16020801878879382,740724.0,16.095063748440715
61,Bulgaria,7640238.0,1900000.0,0.24868335253430587,110550.0,69.11115332428766
62,Kazakhstan,12156705.0,1874583.0,0.15420157024456874,2669800.0,4.553414113416736
63,Lebanon,4265600.0,1706000.0,0.39994373593398347,10230.0,416.969696969697
64,Chile,16634603.0,1585027.0,0.09528493105606428,748800.0,22.21501469017094
65,Rwanda,10137400.0,1520610.0,0.15,24948.0,406.341189674523
66,Slovakia,5397036.0,1400000.0,0.2594016419382787,48800.0,110.595
67,Trinidad and Tobago,1305000.0,1145000.0,0.8773946360153256,5128.0,254.48517940717628
68,Slovenia,2050000.0,1210000.0,0.5902439024390244,20151.0,101.73192397399633
69,Lithuania,3053800.0,1160000.0,0.3798546073744188,,
70,Latvia,2070371.0,950000.0,0.45885495884554023,63589.0,32.5586343549985
71,Guyana,751000.0,680000.0,0.9054593874833555,196850.0,3.8150876301752605
72,Botswana,1639833.0,630000.0,0.384185462787979,585370.0,2.8013615320224816
73,Estonia,1294236.0,650000.0,0.5022267963493521,43211.0,29.951540117099814
74,Cyprus,839000.0,610000.0,0.7270560190703218,9240.0,90.80086580086581
75,Panama,4176869.0,584762.0,0.14000008140068554,75990.0,54.96603500460587
76,Malawi,13931831.0,540209.0,0.03877516171420684,94080.0,148.08493835034014
77,Lesotho,1795000.0,500000.0,0.2785515320334262,30355.0,59.13358590018119
78,Suriname,470784.0,410000.0,0.8708877107123436,161470.0,2.9156128073326313
79,Malta,453000.0,400000.0,0.8830022075055187,316.0,1433.5443037974683
80,Namibia,1820916.0,314000.0,0.17244068369985216,825418.0,2.206053175481998
81,Luxembourg,509000.0,290000.0,0.5697445972495089,2586.0,196.8290796597061
82,Barbados,279000.0,275000.0,0.985663082437276,431.0,647.3317865429234
83,Belize,301270.0,246000.0,0.8165433000298735,22806.0,13.2101201438218
84,Madagascar,23042300.0,4147614.0,0.18,581540.0,39.62289782302163
85,Costa Rica,4910526.0,400415.0,0.0815421810209334,50660.0,96.93103039873668
86,France,65350000.0,23000000.0,0.3519510328997705,640053.0,102.10091976758174
87,Mauritius,1264866.0,202000.0,0.15970071137970346,2030.0,623.0866995073892
88,Vanuatu,215446.0,180000.0,0.8354761750044094,12200.0,17.659508196721312
89,Fiji,853445.0,176000.0,0.20622301378530544,18270.0,46.712917350848386
90,Solomon Islands,552438.0,175000.0,0.31677762934483145,27540.0,20.059477124183008
91,Guam,173456.0,158000.0,0.9108938289825662,541.3,320.4433770552374
92,Brunei,381371.0,144000.0,0.37758508119390305,5270.0,72.36641366223908
93,Saint Vincent and the Grenadines,120000.0,114000.0,0.95,389.0,308.48329048843186
94,Grenada,110000.0,100000.0,0.9090909090909091,344.0,319.7674418604651
95,Samoa,188540.0,94000.0,0.49856794314203884,2934.0,64.26039536468984
96,Isle of Man,80058.0,80000.0,0.9992755252441979,572.0,139.96153846153845
97,Saint Lucia,165000.0,71000.0,0.4303030303030303,606.0,272.2772277227723
98,Northern Mariana Islands,84000.0,70000.0,0.8333333333333334,477.0,176.1006289308176
99,Antigua and Barbuda,85000.0,68000.0,0.8,442.6,192.04699502937189
100,American Samoa,57345.0,45933.0,0.8009939837823699,199.0,288.16582914572865
101,Bermuda,65000.0,63000.0,0.9692307692307692,53.3,1219.5121951219512
102,Dominica,67000.0,63000.0,0.9402985074626866,754.0,88.85941644562334
103,Marshall Islands,59000.0,58000.0,0.9830508474576272,181.3,325.4274682846111
104,Aruba,104000.0,44000.0,0.4230769230769231,193.0,538.860103626943
105,Saint Kitts and Nevis,50000.0,39000.0,0.78,261.0,191.57088122605364
106,Cayman Islands,47000.0,36000.0,0.7659574468085106,262.0,179.38931297709922
107,Seychelles,87000.0,33000.0,0.3793103448275862,455.0,191.2087912087912
108,Gibraltar,28875.0,28875.0,1.0,6.5,4442.307692307692
